I10 Dx	MDC	DRG(s)	ICD-10-CM Description
	9	592-594	
L89312	9	573-578	"Pressure ulcer of right buttock, stage 2"
	9	592-594	
L89313	9	573-578	"Pressure ulcer of right buttock, stage 3"
	9	592-594	
L89314	9	573-578	"Pressure ulcer of right buttock, stage 4"
	9	592-594	
L89319	9	573-578	"Pressure ulcer of right buttock, unspecified stage"
	9	592-594	
L89320	9	573-578	"Pressure ulcer of left buttock, unstageable"
	9	592-594	
L89321	9	573-578	"Pressure ulcer of left buttock, stage 1"
	9	592-594	
L89322	9	573-578	"Pressure ulcer of left buttock, stage 2"
	9	592-594	
L89323	9	573-578	"Pressure ulcer of left buttock, stage 3"
	9	592-594	
L89324	9	573-578	"Pressure ulcer of left buttock, stage 4"
	9	592-594	
L89329	9	573-578	"Pressure ulcer of left buttock, unspecified stage"
	9	592-594	
L8940	9	573-578	"Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage"
	9	592-594	
L8941	9	573-578	"Pressure ulcer of contiguous site of back, buttock and hip, stage 1"
	9	592-594	
L8942	9	573-578	"Pressure ulcer of contiguous site of back, buttock and hip, stage 2"
	9	592-594	
L8943	9	573-578	"Pressure ulcer of contiguous site of back, buttock and hip, stage 3"
	9	592-594	
L8944	9	573-578	"Pressure ulcer of contiguous site of back, buttock and hip, stage 4"
	9	592-594	
L8945	9	573-578	"Pressure ulcer of contiguous site of back, buttock and hip, unstageable"
	9	592-594	
L89500	9	573-578	"Pressure ulcer of unspecified ankle, unstageable"
	9	592-594	
L89501	9	573-578	"Pressure ulcer of unspecified ankle, stage 1"
	9	592-594	
L89502	9	573-578	"Pressure ulcer of unspecified ankle, stage 2"
	9	592-594	
L89503	9	573-578	"Pressure ulcer of unspecified ankle, stage 3"
	9	592-594	
L89504	9	573-578	"Pressure ulcer of unspecified ankle, stage 4"
	9	592-594	
L89509	9	573-578	"Pressure ulcer of unspecified ankle, unspecified stage"
	9	592-594	
L89510	9	573-578	"Pressure ulcer of right ankle, unstageable"
	9	592-594	
L89511	9	573-578	"Pressure ulcer of right ankle, stage 1"
	9	592-594	
L89512	9	573-578	"Pressure ulcer of right ankle, stage 2"
	9	592-594	
L89513	9	573-578	"Pressure ulcer of right ankle, stage 3"
	9	592-594	
L89514	9	573-578	"Pressure ulcer of right ankle, stage 4"
	9	592-594	
L89519	9	573-578	"Pressure ulcer of right ankle, unspecified stage"
	9	592-594	
L89520	9	573-578	"Pressure ulcer of left ankle, unstageable"
	9	592-594	
L89521	9	573-578	"Pressure ulcer of left ankle, stage 1"
	9	592-594	
L89522	9	573-578	"Pressure ulcer of left ankle, stage 2"
	9	592-594	
L89523	9	573-578	"Pressure ulcer of left ankle, stage 3"
	9	592-594	
L89524	9	573-578	"Pressure ulcer of left ankle, stage 4"
	9	592-594	
L89529	9	573-578	"Pressure ulcer of left ankle, unspecified stage"
	9	592-594	
L89600	9	573-578	"Pressure ulcer of unspecified heel, unstageable"
	9	592-594	
L89601	9	573-578	"Pressure ulcer of unspecified heel, stage 1"
	9	592-594	
L89602	9	573-578	"Pressure ulcer of unspecified heel, stage 2"
	9	592-594	
L89603	9	573-578	"Pressure ulcer of unspecified heel, stage 3"
	9	592-594	
L89604	9	573-578	"Pressure ulcer of unspecified heel, stage 4"
	9	592-594	
L89609	9	573-578	"Pressure ulcer of unspecified heel, unspecified stage"
	9	592-594	
L89610	9	573-578	"Pressure ulcer of right heel, unstageable"
	9	592-594	
L89611	9	573-578	"Pressure ulcer of right heel, stage 1"
	9	592-594	
L89612	9	573-578	"Pressure ulcer of right heel, stage 2"
	9	592-594	
L89613	9	573-578	"Pressure ulcer of right heel, stage 3"
	9	592-594	
L89614	9	573-578	"Pressure ulcer of right heel, stage 4"
	9	592-594	
L89619	9	573-578	"Pressure ulcer of right heel, unspecified stage"
	9	592-594	
L89620	9	573-578	"Pressure ulcer of left heel, unstageable"
	9	592-594	
L89621	9	573-578	"Pressure ulcer of left heel, stage 1"
	9	592-594	
L89622	9	573-578	"Pressure ulcer of left heel, stage 2"
	9	592-594	
L89623	9	573-578	"Pressure ulcer of left heel, stage 3"
	9	592-594	
L89624	9	573-578	"Pressure ulcer of left heel, stage 4"
	9	592-594	
L89629	9	573-578	"Pressure ulcer of left heel, unspecified stage"
	9	592-594	
L89810	9	573-578	"Pressure ulcer of head, unstageable"
	9	592-594	
L89811	9	573-578	"Pressure ulcer of head, stage 1"
	9	592-594	
L89812	9	573-578	"Pressure ulcer of head, stage 2"
	9	592-594	
L89813	9	573-578	"Pressure ulcer of head, stage 3"
	9	592-594	
L89814	9	573-578	"Pressure ulcer of head, stage 4"
	9	592-594	
L89819	9	573-578	"Pressure ulcer of head, unspecified stage"
	9	592-594	
L89890	9	573-578	"Pressure ulcer of other site, unstageable"
	9	592-594	
L89891	9	573-578	"Pressure ulcer of other site, stage 1"
	9	592-594	
L89892	9	573-578	"Pressure ulcer of other site, stage 2"
	9	592-594	
L89893	9	573-578	"Pressure ulcer of other site, stage 3"
	9	592-594	
L89894	9	573-578	"Pressure ulcer of other site, stage 4"
	9	592-594	
L89899	9	573-578	"Pressure ulcer of other site, unspecified stage"
	9	592-594	
L8990	9	573-578	"Pressure ulcer of unspecified site, unspecified stage"
	9	592-594	
L8991	9	573-578	"Pressure ulcer of unspecified site, stage 1"
	9	592-594	
L8992	9	573-578	"Pressure ulcer of unspecified site, stage 2"
	9	592-594	
L8993	9	573-578	"Pressure ulcer of unspecified site, stage 3"
	9	592-594	
L8994	9	573-578	"Pressure ulcer of unspecified site, stage 4"
	9	592-594	
L8995	9	573-578	"Pressure ulcer of unspecified site, unstageable"
	9	592-594	
L900	9	606-607	Lichen sclerosus et atrophicus
L901	9	606-607	Anetoderma of Schweninger-Buzzi
L902	9	606-607	Anetoderma of Jadassohn-Pellizzari
L903	9	606-607	Atrophoderma of Pasini and Pierini
L904	9	606-607	Acrodermatitis chronica atrophicans
L905	9	606-607	Scar conditions and fibrosis of skin
L906	9	606-607	Striae atrophicae
L908	9	606-607	Other atrophic disorders of skin
L909	9	606-607	"Atrophic disorder of skin, unspecified"
L910	9	606-607	Hypertrophic scar
L918	9	606-607	Other hypertrophic disorders of the skin
L919	9	606-607	"Hypertrophic disorder of the skin, unspecified"
L920	9	606-607	Granuloma annulare
L921	9	606-607	"Necrobiosis lipoidica, not elsewhere classified"
L922	9	606-607	Granuloma faciale [eosinophilic granuloma of skin]
L923	9	606-607	Foreign body granuloma of the skin and subcutaneous tissue
L928	9	602-603	Other granulomatous disorders of the skin and subcutaneous tissue
L929	9	606-607	"Granulomatous disorder of the skin and subcutaneous tissue, unspecified"
L930	9	595-596	Discoid lupus erythematosus
L931	9	595-596	Subacute cutaneous lupus erythematosus
L932	9	595-596	Other local lupus erythematosus
L940	9	606-607	Localized scleroderma [morphea]
L941	9	606-607	Linear scleroderma
L942	9	606-607	Calcinosis cutis
L943	9	606-607	Sclerodactyly
L944	9	606-607	Gottron's papules
L945	9	595-596	Poikiloderma vasculare atrophicans
L946	18	867-869	Ainhum
L948	9	606-607	Other specified localized connective tissue disorders
L949	9	606-607	"Localized connective tissue disorder, unspecified"
L950	9	606-607	Livedoid vasculitis
L951	9	606-607	Erythema elevatum diutinum
L958	9	606-607	Other vasculitis limited to the skin
L959	9	606-607	"Vasculitis limited to the skin, unspecified"
L97101	9	573-578	Non-pressure chronic ulcer of unspecified thigh limited to breakdown of skin
	9	592-594	
L97102	9	573-578	Non-pressure chronic ulcer of unspecified thigh with fat layer exposed
	9	592-594	
L97103	9	573-578	Non-pressure chronic ulcer of unspecified thigh with necrosis of muscle
	9	592-594	
L97104	9	573-578	Non-pressure chronic ulcer of unspecified thigh with necrosis of bone
	9	592-594	
L97109	9	573-578	Non-pressure chronic ulcer of unspecified thigh with unspecified severity
	9	592-594	
L97111	9	573-578	Non-pressure chronic ulcer of right thigh limited to breakdown of skin
	9	592-594	
L97112	9	573-578	Non-pressure chronic ulcer of right thigh with fat layer exposed
	9	592-594	
L97113	9	573-578	Non-pressure chronic ulcer of right thigh with necrosis of muscle
	9	592-594	
L97114	9	573-578	Non-pressure chronic ulcer of right thigh with necrosis of bone
	9	592-594	
L97119	9	573-578	Non-pressure chronic ulcer of right thigh with unspecified severity
	9	592-594	
L97121	9	573-578	Non-pressure chronic ulcer of left thigh limited to breakdown of skin
	9	592-594	
L97122	9	573-578	Non-pressure chronic ulcer of left thigh with fat layer exposed
	9	592-594	
L97123	9	573-578	Non-pressure chronic ulcer of left thigh with necrosis of muscle
	9	592-594	
L97124	9	573-578	Non-pressure chronic ulcer of left thigh with necrosis of bone
	9	592-594	
L97129	9	573-578	Non-pressure chronic ulcer of left thigh with unspecified severity
	9	592-594	
L97201	9	573-578	Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin
	9	592-594	
L97202	9	573-578	Non-pressure chronic ulcer of unspecified calf with fat layer exposed
	9	592-594	
L97203	9	573-578	Non-pressure chronic ulcer of unspecified calf with necrosis of muscle
	9	592-594	
L97204	9	573-578	Non-pressure chronic ulcer of unspecified calf with necrosis of bone
	9	592-594	
L97209	9	573-578	Non-pressure chronic ulcer of unspecified calf with unspecified severity
	9	592-594	
L97211	9	573-578	Non-pressure chronic ulcer of right calf limited to breakdown of skin
	9	592-594	
L97212	9	573-578	Non-pressure chronic ulcer of right calf with fat layer exposed
	9	592-594	
L97213	9	573-578	Non-pressure chronic ulcer of right calf with necrosis of muscle
	9	592-594	
L97214	9	573-578	Non-pressure chronic ulcer of right calf with necrosis of bone
	9	592-594	
L97219	9	573-578	Non-pressure chronic ulcer of right calf with unspecified severity
	9	592-594	
L97221	9	573-578	Non-pressure chronic ulcer of left calf limited to breakdown of skin
	9	592-594	
L97222	9	573-578	Non-pressure chronic ulcer of left calf with fat layer exposed
	9	592-594	
L97223	9	573-578	Non-pressure chronic ulcer of left calf with necrosis of muscle
	9	592-594	
L97224	9	573-578	Non-pressure chronic ulcer of left calf with necrosis of bone
	9	592-594	
L97229	9	573-578	Non-pressure chronic ulcer of left calf with unspecified severity
	9	592-594	
L97301	9	573-578	Non-pressure chronic ulcer of unspecified ankle limited to breakdown of skin
	9	592-594	
L97302	9	573-578	Non-pressure chronic ulcer of unspecified ankle with fat layer exposed
	9	592-594	
L97303	9	573-578	Non-pressure chronic ulcer of unspecified ankle with necrosis of muscle
	9	592-594	
L97304	9	573-578	Non-pressure chronic ulcer of unspecified ankle with necrosis of bone
	9	592-594	
L97309	9	573-578	Non-pressure chronic ulcer of unspecified ankle with unspecified severity
	9	592-594	
L97311	9	573-578	Non-pressure chronic ulcer of right ankle limited to breakdown of skin
	9	592-594	
L97312	9	573-578	Non-pressure chronic ulcer of right ankle with fat layer exposed
	9	592-594	
L97313	9	573-578	Non-pressure chronic ulcer of right ankle with necrosis of muscle
	9	592-594	
L97314	9	573-578	Non-pressure chronic ulcer of right ankle with necrosis of bone
	9	592-594	
L97319	9	573-578	Non-pressure chronic ulcer of right ankle with unspecified severity
	9	592-594	
L97321	9	573-578	Non-pressure chronic ulcer of left ankle limited to breakdown of skin
	9	592-594	
L97322	9	573-578	Non-pressure chronic ulcer of left ankle with fat layer exposed
	9	592-594	
L97323	9	573-578	Non-pressure chronic ulcer of left ankle with necrosis of muscle
	9	592-594	
L97324	9	573-578	Non-pressure chronic ulcer of left ankle with necrosis of bone
	9	592-594	
L97329	9	573-578	Non-pressure chronic ulcer of left ankle with unspecified severity
	9	592-594	
L97401	9	573-578	Non-pressure chronic ulcer of unspecified heel and midfoot limited to breakdown of skin
	9	592-594	
L97402	9	573-578	Non-pressure chronic ulcer of unspecified heel and midfoot with fat layer exposed
	9	592-594	
L97403	9	573-578	Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of muscle
	9	592-594	
L97404	9	573-578	Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of bone
	9	592-594	
L97409	9	573-578	Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity
	9	592-594	
L97411	9	573-578	Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin
	9	592-594	
L97412	9	573-578	Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed
	9	592-594	
L97413	9	573-578	Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle
	9	592-594	
L97414	9	573-578	Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone
	9	592-594	
L97419	9	573-578	Non-pressure chronic ulcer of right heel and midfoot with unspecified severity
	9	592-594	
L97421	9	573-578	Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin
	9	592-594	
L97422	9	573-578	Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed
	9	592-594	
L97423	9	573-578	Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle
	9	592-594	
L97424	9	573-578	Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone
	9	592-594	
L97429	9	573-578	Non-pressure chronic ulcer of left heel and midfoot with unspecified severity
	9	592-594	
L97501	9	573-578	Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin
	9	592-594	
L97502	9	573-578	Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed
	9	592-594	
L97503	9	573-578	Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle
	9	592-594	
L97504	9	573-578	Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone
	9	592-594	
L97509	9	573-578	Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity
	9	592-594	
L97511	9	573-578	Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin
	9	592-594	
L97512	9	573-578	Non-pressure chronic ulcer of other part of right foot with fat layer exposed
	9	592-594	
L97513	9	573-578	Non-pressure chronic ulcer of other part of right foot with necrosis of muscle
	9	592-594	
L97514	9	573-578	Non-pressure chronic ulcer of other part of right foot with necrosis of bone
	9	592-594	
L97519	9	573-578	Non-pressure chronic ulcer of other part of right foot with unspecified severity
	9	592-594	
L97521	9	573-578	Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin
	9	592-594	
L97522	9	573-578	Non-pressure chronic ulcer of other part of left foot with fat layer exposed
	9	592-594	
L97523	9	573-578	Non-pressure chronic ulcer of other part of left foot with necrosis of muscle
	9	592-594	
L97524	9	573-578	Non-pressure chronic ulcer of other part of left foot with necrosis of bone
	9	592-594	
L97529	9	573-578	Non-pressure chronic ulcer of other part of left foot with unspecified severity
	9	592-594	
L97801	9	573-578	Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin
	9	592-594	
L97802	9	573-578	Non-pressure chronic ulcer of other part of unspecified lower leg with fat layer exposed
	9	592-594	
L97803	9	573-578	Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of muscle
	9	592-594	
L97804	9	573-578	Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone
	9	592-594	
L97809	9	573-578	Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity
	9	592-594	
L97811	9	573-578	Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin
	9	592-594	
L97812	9	573-578	Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed
	9	592-594	
L97813	9	573-578	Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle
	9	592-594	
L97814	9	573-578	Non-pressure chronic ulcer of other part of right lower leg with necrosis of bone
	9	592-594	
L97819	9	573-578	Non-pressure chronic ulcer of other part of right lower leg with unspecified severity
	9	592-594	
L97821	9	573-578	Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin
	9	592-594	
L97822	9	573-578	Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed
	9	592-594	
L97823	9	573-578	Non-pressure chronic ulcer of other part of left lower leg with necrosis of muscle
	9	592-594	
L97824	9	573-578	Non-pressure chronic ulcer of other part of left lower leg with necrosis of bone
	9	592-594	
L97829	9	573-578	Non-pressure chronic ulcer of other part of left lower leg with unspecified severity
	9	592-594	
L97901	9	573-578	Non-pressure chronic ulcer of unspecified part of unspecified lower leg limited to breakdown of skin
	9	592-594	
L97902	9	573-578	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with fat layer exposed
	9	592-594	
L97903	9	573-578	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of muscle
	9	592-594	
L97904	9	573-578	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone
	9	592-594	
L97909	9	573-578	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
	9	592-594	
L97911	9	573-578	Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin
	9	592-594	
L97912	9	573-578	Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed
	9	592-594	
L97913	9	573-578	Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of muscle
	9	592-594	
L97914	9	573-578	Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of bone
	9	592-594	
L97919	9	573-578	Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity
	9	592-594	
L97921	9	573-578	Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin
	9	592-594	
L97922	9	573-578	Non-pressure chronic ulcer of unspecified part of left lower leg with fat layer exposed
	9	592-594	
L97923	9	573-578	Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of muscle
	9	592-594	
L97924	9	573-578	Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of bone
	9	592-594	
L97929	9	573-578	Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity
	9	592-594	
L980	9	602-603	Pyogenic granuloma
L981	9	606-607	Factitial dermatitis
L982	9	606-607	Febrile neutrophilic dermatosis [Sweet]
L983	9	573-578	Eosinophilic cellulitis [Wells]
	9	602-603	
	15	793	
L98411	9	573-578	Non-pressure chronic ulcer of buttock limited to breakdown of skin
	9	592-594	
L98412	9	573-578	Non-pressure chronic ulcer of buttock with fat layer exposed
	9	592-594	
L98413	9	573-578	Non-pressure chronic ulcer of buttock with necrosis of muscle
	9	592-594	
L98414	9	573-578	Non-pressure chronic ulcer of buttock with necrosis of bone
	9	592-594	
L98419	9	573-578	Non-pressure chronic ulcer of buttock with unspecified severity
	9	592-594	
L98421	9	573-578	Non-pressure chronic ulcer of back limited to breakdown of skin
	9	592-594	
L98422	9	573-578	Non-pressure chronic ulcer of back with fat layer exposed
	9	592-594	
L98423	9	573-578	Non-pressure chronic ulcer of back with necrosis of muscle
	9	592-594	
L98424	9	573-578	Non-pressure chronic ulcer of back with necrosis of bone
	9	592-594	
L98429	9	573-578	Non-pressure chronic ulcer of back with unspecified severity
	9	592-594	
L98491	9	573-578	Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin
	9	592-594	
L98492	9	573-578	Non-pressure chronic ulcer of skin of other sites with fat layer exposed
	9	592-594	
L98493	9	573-578	Non-pressure chronic ulcer of skin of other sites with necrosis of muscle
	9	592-594	
L98494	9	573-578	Non-pressure chronic ulcer of skin of other sites with necrosis of bone
	9	592-594	
L98499	9	573-578	Non-pressure chronic ulcer of skin of other sites with unspecified severity
	9	592-594	
L985	9	606-607	Mucinosis of the skin
L986	9	606-607	Other infiltrative disorders of the skin and subcutaneous tissue
L988	9	606-607	Other specified disorders of the skin and subcutaneous tissue
L989	9	606-607	"Disorder of the skin and subcutaneous tissue, unspecified"
L99	9	606-607	Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M0000	8	548-550	"Staphylococcal arthritis, unspecified joint"
M00011	8	548-550	"Staphylococcal arthritis, right shoulder"
M00012	8	548-550	"Staphylococcal arthritis, left shoulder"
M00019	8	548-550	"Staphylococcal arthritis, unspecified shoulder"
M00021	8	548-550	"Staphylococcal arthritis, right elbow"
M00022	8	548-550	"Staphylococcal arthritis, left elbow"
M00029	8	548-550	"Staphylococcal arthritis, unspecified elbow"
M00031	8	548-550	"Staphylococcal arthritis, right wrist"
M00032	8	548-550	"Staphylococcal arthritis, left wrist"
M00039	8	548-550	"Staphylococcal arthritis, unspecified wrist"
M00041	8	548-550	"Staphylococcal arthritis, right hand"
M00042	8	548-550	"Staphylococcal arthritis, left hand"
M00049	8	548-550	"Staphylococcal arthritis, unspecified hand"
M00051	8	548-550	"Staphylococcal arthritis, right hip"
M00052	8	548-550	"Staphylococcal arthritis, left hip"
M00059	8	548-550	"Staphylococcal arthritis, unspecified hip"
M00061	8	485-489	"Staphylococcal arthritis, right knee"
	8	548-550	
M00062	8	485-489	"Staphylococcal arthritis, left knee"
	8	548-550	
M00069	8	485-489	"Staphylococcal arthritis, unspecified knee"
	8	548-550	
M00071	8	548-550	"Staphylococcal arthritis, right ankle and foot"
M00072	8	548-550	"Staphylococcal arthritis, left ankle and foot"
M00079	8	548-550	"Staphylococcal arthritis, unspecified ankle and foot"
M0008	8	548-550	"Staphylococcal arthritis, vertebrae"
M0009	8	548-550	Staphylococcal polyarthritis
M0010	8	548-550	"Pneumococcal arthritis, unspecified joint"
M00111	8	548-550	"Pneumococcal arthritis, right shoulder"
M00112	8	548-550	"Pneumococcal arthritis, left shoulder"
M00119	8	548-550	"Pneumococcal arthritis, unspecified shoulder"
M00121	8	548-550	"Pneumococcal arthritis, right elbow"
M00122	8	548-550	"Pneumococcal arthritis, left elbow"
M00129	8	548-550	"Pneumococcal arthritis, unspecified elbow"
M00131	8	548-550	"Pneumococcal arthritis, right wrist"
M00132	8	548-550	"Pneumococcal arthritis, left wrist"
M00139	8	548-550	"Pneumococcal arthritis, unspecified wrist"
M00141	8	548-550	"Pneumococcal arthritis, right hand"
M00142	8	548-550	"Pneumococcal arthritis, left hand"
M00149	8	548-550	"Pneumococcal arthritis, unspecified hand"
M00151	8	548-550	"Pneumococcal arthritis, right hip"
M00152	8	548-550	"Pneumococcal arthritis, left hip"
M00159	8	548-550	"Pneumococcal arthritis, unspecified hip"
M00161	8	485-489	"Pneumococcal arthritis, right knee"
	8	548-550	
M00162	8	485-489	"Pneumococcal arthritis, left knee"
	8	548-550	
M00169	8	485-489	"Pneumococcal arthritis, unspecified knee"
	8	548-550	
M00171	8	548-550	"Pneumococcal arthritis, right ankle and foot"
M00172	8	548-550	"Pneumococcal arthritis, left ankle and foot"
M00179	8	548-550	"Pneumococcal arthritis, unspecified ankle and foot"
M0018	8	548-550	"Pneumococcal arthritis, vertebrae"
M0019	8	548-550	Pneumococcal polyarthritis
M0020	8	548-550	"Other streptococcal arthritis, unspecified joint"
M00211	8	548-550	"Other streptococcal arthritis, right shoulder"
M00212	8	548-550	"Other streptococcal arthritis, left shoulder"
M00219	8	548-550	"Other streptococcal arthritis, unspecified shoulder"
M00221	8	548-550	"Other streptococcal arthritis, right elbow"
M00222	8	548-550	"Other streptococcal arthritis, left elbow"
M00229	8	548-550	"Other streptococcal arthritis, unspecified elbow"
M00231	8	548-550	"Other streptococcal arthritis, right wrist"
M00232	8	548-550	"Other streptococcal arthritis, left wrist"
M00239	8	548-550	"Other streptococcal arthritis, unspecified wrist"
M00241	8	548-550	"Other streptococcal arthritis, right hand"
M00242	8	548-550	"Other streptococcal arthritis, left hand"
M00249	8	548-550	"Other streptococcal arthritis, unspecified hand"
M00251	8	548-550	"Other streptococcal arthritis, right hip"
M00252	8	548-550	"Other streptococcal arthritis, left hip"
M00259	8	548-550	"Other streptococcal arthritis, unspecified hip"
M00261	8	485-489	"Other streptococcal arthritis, right knee"
	8	548-550	
M00262	8	485-489	"Other streptococcal arthritis, left knee"
	8	548-550	
M00269	8	485-489	"Other streptococcal arthritis, unspecified knee"
	8	548-550	
M00271	8	548-550	"Other streptococcal arthritis, right ankle and foot"
M00272	8	548-550	"Other streptococcal arthritis, left ankle and foot"
M00279	8	548-550	"Other streptococcal arthritis, unspecified ankle and foot"
M0028	8	548-550	"Other streptococcal arthritis, vertebrae"
M0029	8	548-550	Other streptococcal polyarthritis
M0080	8	548-550	"Arthritis due to other bacteria, unspecified joint"
M00811	8	548-550	"Arthritis due to other bacteria, right shoulder"
M00812	8	548-550	"Arthritis due to other bacteria, left shoulder"
M00819	8	548-550	"Arthritis due to other bacteria, unspecified shoulder"
M00821	8	548-550	"Arthritis due to other bacteria, right elbow"
M00822	8	548-550	"Arthritis due to other bacteria, left elbow"
M00829	8	548-550	"Arthritis due to other bacteria, unspecified elbow"
M00831	8	548-550	"Arthritis due to other bacteria, right wrist"
M00832	8	548-550	"Arthritis due to other bacteria, left wrist"
M00839	8	548-550	"Arthritis due to other bacteria, unspecified wrist"
M00841	8	548-550	"Arthritis due to other bacteria, right hand"
M00842	8	548-550	"Arthritis due to other bacteria, left hand"
M00849	8	548-550	"Arthritis due to other bacteria, unspecified hand"
M00851	8	548-550	"Arthritis due to other bacteria, right hip"
M00852	8	548-550	"Arthritis due to other bacteria, left hip"
M00859	8	548-550	"Arthritis due to other bacteria, unspecified hip"
M00861	8	485-489	"Arthritis due to other bacteria, right knee"
	8	548-550	
M00862	8	485-489	"Arthritis due to other bacteria, left knee"
	8	548-550	
M00869	8	485-489	"Arthritis due to other bacteria, unspecified knee"
	8	548-550	
M00871	8	548-550	"Arthritis due to other bacteria, right ankle and foot"
M00872	8	548-550	"Arthritis due to other bacteria, left ankle and foot"
M00879	8	548-550	"Arthritis due to other bacteria, unspecified ankle and foot"
M0088	8	548-550	"Arthritis due to other bacteria, vertebrae"
M0089	8	548-550	Polyarthritis due to other bacteria
M009	8	548-550	"Pyogenic arthritis, unspecified"
M01X0	8	548-550	Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere
M01X11	8	548-550	Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere
M01X12	8	548-550	Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere
M01X19	8	548-550	Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere
M01X21	8	548-550	Direct infection of right elbow in infectious and parasitic diseases classified elsewhere
M01X22	8	548-550	Direct infection of left elbow in infectious and parasitic diseases classified elsewhere
M01X29	8	548-550	Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere
M01X31	8	548-550	Direct infection of right wrist in infectious and parasitic diseases classified elsewhere
M01X32	8	548-550	Direct infection of left wrist in infectious and parasitic diseases classified elsewhere
M01X39	8	548-550	Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere
M01X41	8	548-550	Direct infection of right hand in infectious and parasitic diseases classified elsewhere
M01X42	8	548-550	Direct infection of left hand in infectious and parasitic diseases classified elsewhere
M01X49	8	548-550	Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere
M01X51	8	548-550	Direct infection of right hip in infectious and parasitic diseases classified elsewhere
M01X52	8	548-550	Direct infection of left hip in infectious and parasitic diseases classified elsewhere
M01X59	8	548-550	Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere
M01X61	8	548-550	Direct infection of right knee in infectious and parasitic diseases classified elsewhere
M01X62	8	548-550	Direct infection of left knee in infectious and parasitic diseases classified elsewhere
M01X69	8	548-550	Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere
M01X71	8	548-550	Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
M01X72	8	548-550	Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere
M01X79	8	548-550	Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere
M01X8	8	548-550	Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere
M01X9	8	548-550	Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere
M0200	8	553-554	"Arthropathy following intestinal bypass, unspecified site"
M02011	8	553-554	"Arthropathy following intestinal bypass, right shoulder"
M02012	8	553-554	"Arthropathy following intestinal bypass, left shoulder"
M02019	8	553-554	"Arthropathy following intestinal bypass, unspecified shoulder"
M02021	8	553-554	"Arthropathy following intestinal bypass, right elbow"
M02022	8	553-554	"Arthropathy following intestinal bypass, left elbow"
